Rank   | Player                               |      Elo | Games
5700   | Anders Dreisig                       |   1528.7 | 10
5701   | Josh Martin                          |   1528.7 | 38
5702   | Vojtech Cistecky                     |   1528.7 | 20
5703   | Tim Matsuda                          |   1528.7 | 36
5704   | Mark  Perry                          |   1528.7 | 6
5705   | Luke Ridsdill Smith                  |   1528.6 | 5
5706   | Laurens Tjallingii                   |   1528.6 | 27
5707   | Farelo  : (                          |   1528.6 | 11
5708   | Thomas Reidy                         |   1528.6 | 100
5709   | Stefan Lermer                        |   1528.6 | 6
5710   | Mads Gram                            |   1528.6 | 14
5711   | Iain Durham                          |   1528.6 | 5
5712   | James Wadey                          |   1528.6 | 30
5713   | james Rivett                         |   1528.6 | 10
5714   | Manue                                |   1528.6 | 12
5715   | Ron WISMER                           |   1528.6 | 18
5716   | Ethan Emmick                         |   1528.6 | 8
5717   | James Wallin                         |   1528.6 | 17
5718   | Josh Kirby                           |   1528.5 | 12
5719   | Timo Breunig                         |   1528.5 | 14
5720   | Ali Manhal                           |   1528.5 | 8
5721   | Hector Nisme "Spyko" - BELGIUM 🇧🇪    |   1528.5 | 5
5722   | James Sunderland                     |   1528.5 | 10
5723   | Josh Catron                          |   1528.5 | 14
5724   | Ryan Hebb                            |   1528.5 | 20
5725   | Andreas Møller                       |   1528.5 | 8
5726   | Greg Bennett                         |   1528.5 | 5
5727   | Santiago Brassiolo                   |   1528.5 | 6
5728   | Iaian Lyle                           |   1528.4 | 12
5729   | Johnny Meiners                       |   1528.4 | 39
5730   | Seb Spencer                          |   1528.4 | 36
5731   | Josh Prever                          |   1528.4 | 22
5732   | Guđbrandur Magnússon                 |   1528.4 | 10
5733   | Shane Ragland                        |   1528.4 | 5
5734   | kevin bonneau                        |   1528.4 | 35
5735   | Gerald Cloud                         |   1528.4 | 19
5736   | Chris Ford                           |   1528.4 | 5
5737   | Ian Marr                             |   1528.3 | 20
5738   | Ethan Curran                         |   1528.3 | 31
5739   | Rares "Plato" Platon                 |   1528.3 | 5
5740   | Joshua Henderson                     |   1528.3 | 8
5741   | Brendan Case                         |   1528.3 | 15
5742   | Tycho Baillard                       |   1528.3 | 14
5743   | Isi (Junon) Escudero                 |   1528.3 | 5
5744   | Debliquy Cameron                     |   1528.3 | 10
5745   | Ryan Carter                          |   1528.3 | 10
5746   | Conor Akker                          |   1528.3 | 10
5747   | Danil Romanov                        |   1528.3 | 5
5748   | Chris Bowles                         |   1528.3 | 20
5749   | Seth Alsuleiman                      |   1528.3 | 79
5750   | Larson Wiley                         |   1528.3 | 16
5751   | Byron Livingstone                    |   1528.2 | 25
5752   | Elijah Bilos                         |   1528.2 | 5
5753   | C.J. Buckler                         |   1528.2 | 5
5754   | Mitch Boudreau                       |   1528.2 | 40
5755   | "Gypsy warden"Cristian Jimenez Vall… |   1528.2 | 5
5756   | Marc Monchy                          |   1528.2 | 16
5757   | Harry Mayo                           |   1528.2 | 20
5758   | Tanausu Rodríguez                    |   1528.2 | 11
5759   | David Kimberley                      |   1528.2 | 17
5760   | Joseph Shurtleff                     |   1528.1 | 37
5761   | Zachary Wylie                        |   1528.1 | 45
5762   | Chris Orr                            |   1528.1 | 33
5763   | Khan Runander                        |   1528.1 | 25
5764   | Joel Rayner                          |   1528.1 | 7
5765   | Hampus Friede                        |   1528.1 | 63
5766   | Aj Harris                            |   1528.1 | 44
5767   | Sam Whitley                          |   1528.1 | 7
5768   | Shawn M Allen                        |   1528.1 | 7
5769   | Kristopher Pals                      |   1528.1 | 14
5770   | Javier Lino De Lara                  |   1528.1 | 14
5771   | Alex Robleno                         |   1528.1 | 5
5772   | Alec Bradley                         |   1528.1 | 5
5773   | Nathan Riggeal                       |   1528.1 | 14
5774   | mike tangney                         |   1528.1 | 20
5775   | Luke Shapiro                         |   1528.1 | 31
5776   | Shawn Dougherty                      |   1528.0 | 33
5777   | Aaron Thompson                       |   1528.0 | 34
5778   | Jairo Gutiérrez                      |   1528.0 | 17
5779   | Steven Aminzade                      |   1528.0 | 65
5780   | Happy Happy                          |   1528.0 | 5
5781   | Roland "Byakuren" Ruina              |   1528.0 | 5
5782   | Harry Wheeler                        |   1528.0 | 5
5783   | Hayden Webb                          |   1528.0 | 21
5784   | maximilien DAYRE                     |   1528.0 | 10
5785   | Jakob Birch Rosenberg                |   1528.0 | 18
5786   | Tito Teph                            |   1528.0 | 41
5787   | Yihua Liu                            |   1528.0 | 10
5788   | Donny Barham                         |   1528.0 | 6
5789   | Michał Stepanowicz                   |   1528.0 | 5
5790   | Alberto Velites                      |   1528.0 | 21
5791   | Danny Stewart                        |   1528.0 | 26
5792   | Janak Morar                          |   1528.0 | 10
5793   | James Giddings                       |   1527.9 | 5
5794   | Пшишдица 250 Vyacheslav              |   1527.9 | 5
5795   | Matthew Dennis                       |   1527.9 | 63
5796   | Max Möllecken                        |   1527.9 | 22
5797   | David Lundqvist                      |   1527.9 | 21
5798   | AJ Armstrong                         |   1527.9 | 5
5799   | Vincent Wang                         |   1527.8 | 13
5800   | Taylor Arluck                        |   1527.8 | 27
5801   | Leif Klossner                        |   1527.8 | 15
5802   | Bruce Keefer                         |   1527.8 | 17
5803   | Erik Larsson                         |   1527.8 | 40
5804   | David Hainsworth                     |   1527.8 | 4
5805   | Harry Baker                          |   1527.8 | 21
5806   | Maciej Ptasiński                     |   1527.8 | 10
5807   | Richard Owen                         |   1527.8 | 23
5808   | Jakeb Quangvan                       |   1527.8 | 33
5809   | Daniel Ward                          |   1527.8 | 4
5810   | George Mestakides                    |   1527.8 | 57
5811   | Chris Koh                            |   1527.8 | 15
5812   | Voytas Bialopiotrowicz               |   1527.8 | 30
5813   | Geoffrey Blundstone                  |   1527.7 | 5
5814   | João Barata "JAB"                    |   1527.7 | 5
5815   | Babrus 🛡️                            |   1527.7 | 5
5816   | Andrew Hartley                       |   1527.7 | 10
5817   | Jonathon Baugher                     |   1527.7 | 15
5818   | Daniele Fetoni                       |   1527.7 | 30
5819   | Jarred Lohse                         |   1527.7 | 23
5820   | Josh Dutton                          |   1527.7 | 20
5821   | James Harrison                       |   1527.7 | 15
5822   | Benoît VARDON                        |   1527.6 | 5
5823   | Chris Campbell                       |   1527.6 | 10
5824   | Lewis Beaumont                       |   1527.6 | 31
5825   | Nicola Valle                         |   1527.6 | 48
5826   | Garrett Gregory                      |   1527.6 | 11
5827   | Miller Time                          |   1527.6 | 22
5828   | Erik Dumans-Ranum                    |   1527.6 | 8
5829   | George Paradis                       |   1527.6 | 12
5830   | Grant Stevens-Bulmer                 |   1527.6 | 20
5831   | Steph Drouin                         |   1527.6 | 6
5832   | Cesar Basanta                        |   1527.6 | 10
5833   | Tom Robinson                         |   1527.6 | 48
5834   | Rik Hansen                           |   1527.6 | 60
5835   | Luigi Capitan                        |   1527.6 | 15
5836   | Leonardo Minciotti                   |   1527.6 | 24
5837   | Jake Dabney                          |   1527.5 | 18
5838   | Kirill Vulture 391                   |   1527.5 | 5
5839   | Anders Tvedt                         |   1527.5 | 5
5840   | Hans Wolfgang                        |   1527.5 | 11
5841   | Ali Hodkin                           |   1527.5 | 10
5842   | Scott Neuman                         |   1527.5 | 44
5843   | Will Milton                          |   1527.5 | 35
5844   | Patrik Havel                         |   1527.5 | 10
5845   | Aaron Weisbrod                       |   1527.5 | 46
5846   | Samuele Bianciardi                   |   1527.5 | 44
5847   | Tim Brown                            |   1527.5 | 6
5848   | Linus Bengtsson                      |   1527.5 | 41
5849   | David Morales                        |   1527.5 | 25
5850   | Titus .                              |   1527.4 | 20
5851   | Shane Phillips                       |   1527.4 | 26
5852   | mack mcmurrin                        |   1527.4 | 22
5853   | Andrea Seveso                        |   1527.4 | 10
5854   | Raf Brusilow                         |   1527.4 | 5
5855   | Andreas Helm                         |   1527.4 | 28
5856   | Jonathan Rubio                       |   1527.4 | 5
5857   | Douglas Ember                        |   1527.4 | 10
5858   | Adrian Garcia ⚜️                     |   1527.4 | 31
5859   | Cameron Sanderson                    |   1527.4 | 15
5860   | William Leach                        |   1527.4 | 5
5861   | Sjoerd Reiche                        |   1527.4 | 41
5862   | Alex Ash                             |   1527.4 | 11
5863   | John Eddie                           |   1527.3 | 20
5864   | Juanan García                        |   1527.3 | 32
5865   | Flament Paul                         |   1527.3 | 10
5866   | Luke "Captain" Bumpus                |   1527.3 | 15
5867   | Adrien Mindjimba                     |   1527.3 | 33
5868   | Josh Bacon                           |   1527.3 | 13
5869   | Henry Summers                        |   1527.3 | 10
5870   | Ben Attwood                          |   1527.3 | 10
5871   | Leonhard Herbein                     |   1527.3 | 5
5872   | Alex Kostiuk                         |   1527.3 | 27
5873   | Albert Lim                           |   1527.3 | 51
5874   | Taylor John-Morton                   |   1527.3 | 53
5875   | abeicnr abeicnr                      |   1527.3 | 5
5876   | Stephen Killen                       |   1527.3 | 21
5877   | Thomas Beckers                       |   1527.3 | 34
5878   | Verhoye Laurent                      |   1527.2 | 5
5879   | William Northern                     |   1527.2 | 21
5880   | Peter Rechberger                     |   1527.2 | 10
5881   | Florian Duyckaerts                   |   1527.2 | 58
5882   | Erik Miller                          |   1527.2 | 5
5883   | chris pryor                          |   1527.2 | 21
5884   | Grigory Tomich                       |   1527.2 | 5
5885   | George Willcox                       |   1527.2 | 20
5886   | Korrie Hegarty                       |   1527.2 | 6
5887   | Prados Javi                          |   1527.2 | 15
5888   | Spencer Friedlein                    |   1527.2 | 35
5889   | Guillaume Botbol                     |   1527.2 | 71
5890   | Mike Micheev                         |   1527.1 | 5
5891   | Paul Croghan                         |   1527.1 | 25
5892   | Julen Pericoloso                     |   1527.1 | 36
5893   | Ivan Burachynsky                     |   1527.1 | 17
5894   | Krisztián Kásádi                     |   1527.1 | 16
5895   | David Wells                          |   1527.1 | 22
5896   | Grant Roberts                        |   1527.1 | 30
5897   | Daniel Tanner                        |   1527.1 | 15
5898   | Derek Swift                          |   1527.1 | 10
5899   | Cameron Glodowski                    |   1527.0 | 13
5900   | Jan Black                            |   1527.0 | 5
5901   | Logan Vanderwarker                   |   1527.0 | 5
5902   | Антон Седой странник                 |   1527.0 | 5
5903   | James Raymond                        |   1527.0 | 35
5904   | Dustin Cooknell                      |   1527.0 | 5
5905   | Felipe Padrón                        |   1527.0 | 12
5906   | Erik Storms                          |   1527.0 | 11
5907   | Dan Costan                           |   1527.0 | 9
5908   | Oliver Leaver                        |   1527.0 | 30
5909   | Gonzalo “Raven” 🦭🦭🦭                  |   1527.0 | 16
5910   | Stroh Benjamin                       |   1527.0 | 6
5911   | Nicholas Froese                      |   1527.0 | 8
5912   | Patrice Müller                       |   1527.0 | 27
5913   | Aaron Moat                           |   1527.0 | 51
5914   | David Savage                         |   1527.0 | 56
5915   | Ritchie Balan                        |   1527.0 | 55
5916   | Meiszner Dávid                       |   1526.9 | 5
5917   | Chris Johnson                        |   1526.9 | 147
5918   | Tyson Whitelaw                       |   1526.9 | 12
5919   | Quoc Lay (Will)                      |   1526.9 | 8
5920   | Andrea Eulogio                       |   1526.9 | 51
5921   | Javier Conde                         |   1526.9 | 5
5922   | Pavel Abakumov                       |   1526.9 | 5
5923   | Anthony Ambrose                      |   1526.9 | 22
5924   | Yann DUBOIS                          |   1526.9 | 5
5925   | Rikard Tröger                        |   1526.9 | 15
5926   | Gustavo Sousa                        |   1526.9 | 10
5927   | Antony Bull                          |   1526.8 | 9
5928   | Rupert the Wizard                    |   1526.8 | 4
5929   | Ouhyon Lee                           |   1526.8 | 34
5930   | Justin Monnin                        |   1526.8 | 5
5931   | Ali Meek                             |   1526.8 | 9
5932   | Peter Foitzik                        |   1526.8 | 28
5933   | Colton Havens                        |   1526.8 | 64
5934   | Kristian Kammerer                    |   1526.8 | 17
5935   | Santiago Herrera                     |   1526.8 | 10
5936   | Jaime Fernandez                      |   1526.8 | 17
5937   | John Setzer                          |   1526.8 | 51
5938   | pixon .                              |   1526.8 | 5
5939   | Sam Procopio                         |   1526.8 | 23
5940   | Alex Gutierrez  “Pochteca”           |   1526.8 | 6
5941   | Frank Stüdemann                      |   1526.7 | 49
5942   | Jason Chevalier                      |   1526.7 | 47
5943   | Jose Caballero                       |   1526.7 | 22
5944   | Torben Leth-Nissen                   |   1526.7 | 31
5945   | Carl Vaillancourt                    |   1526.7 | 15
5946   | Philip Galway-Witham                 |   1526.7 | 25
5947   | Spencer Hart                         |   1526.7 | 20
5948   | Emanuel Pettersson                   |   1526.7 | 48
5949   | Sean Pickering-Bryce                 |   1526.7 | 5
5950   | Chad Hawkins                         |   1526.7 | 23
5951   | Linus Lindgren                       |   1526.6 | 15
5952   | L Twohig                             |   1526.6 | 20
5953   | Василий Гукало                       |   1526.6 | 5
5954   | Edward Fawcett                       |   1526.6 | 25
5955   | David Veino                          |   1526.6 | 5
5956   | Stewart Bobbitt                      |   1526.6 | 6
5957   | Denver Weatherburn                   |   1526.6 | 7
5958   | Mark Rodda                           |   1526.6 | 70
5959   | Lance Jackson                        |   1526.6 | 5
5960   | Aaron Devost                         |   1526.6 | 43
5961   | Arthur Grenier                       |   1526.6 | 5
5962   | Jake Viegas                          |   1526.6 | 42
5963   | Denzil Forde                         |   1526.6 | 5
5964   | Darick Post                          |   1526.5 | 18
5965   | Mitchell McBirney                    |   1526.5 | 10
5966   | CazaLet .                            |   1526.5 | 5
5967   | maverick Guthrie                     |   1526.5 | 9
5968   | Alfredo Garcia-marcos                |   1526.5 | 22
5969   | Kaven Picard                         |   1526.5 | 15
5970   | Kevin Fleming                        |   1526.5 | 5
5971   | Sean Nahstoll                        |   1526.5 | 11
5972   | Melody Wallace                       |   1526.5 | 46
5973   | Jay Mann                             |   1526.4 | 18
5974   | Eric Wehrli                          |   1526.4 | 15
5975   | Tim Oliver-Duckhouse                 |   1526.4 | 32
5976   | Michael Peterson                     |   1526.4 | 11
5977   | Simon Lamothe                        |   1526.4 | 10
5978   | Luis Poza                            |   1526.4 | 17
5979   | Christopher Hardie                   |   1526.4 | 5
5980   | Josh Titus                           |   1526.4 | 32
5981   | Paul Hornby                          |   1526.4 | 35
5982   | Jamie Fowler                         |   1526.4 | 28
5983   | Jorge " Velha Guarda" Baptista       |   1526.4 | 5
5984   | Alex B                               |   1526.4 | 39
5985   | david david                          |   1526.4 | 5
5986   | Amir Golpoor                         |   1526.3 | 17
5987   | Sebastian Quah                       |   1526.3 | 13
5988   | Roman Borisov                        |   1526.3 | 25
5989   | Kevin West                           |   1526.3 | 42
5990   | José María Acosta Hervás             |   1526.3 | 12
5991   | Mikkel Kirketerp                     |   1526.3 | 35
5992   | Jose Tejedor                         |   1526.3 | 5
5993   | Jeremiah Petit                       |   1526.3 | 34
5994   | Federico Fucio Ficili                |   1526.3 | 5
5995   | Lewis McCollough                     |   1526.3 | 5
5996   | Jack Angel                           |   1526.3 | 10
5997   | Andrew Dennis                        |   1526.3 | 29
5998   | Carlos Segatti                       |   1526.3 | 6
5999   | Cole Cook                            |   1526.3 | 17
6000   | Gustavo Marod                        |   1526.3 | 19
6001   | Timothy Spangler                     |   1526.3 | 5
6002   | Frank Mckenzie                       |   1526.3 | 27
6003   | JORDANN LASNIER                      |   1526.3 | 10
6004   | Bartlomiej „Kaskader” Lubiatowski    |   1526.2 | 26
6005   | Philip Wells                         |   1526.2 | 20
6006   | Jordan Klumpp                        |   1526.2 | 10
6007   | Josh Parry                           |   1526.2 | 20
6008   | Hristo 👽🕷 Nikolov                    |   1526.2 | 5
6009   | Mark Beaumont                        |   1526.2 | 21
6010   | Jon Swarbrick                        |   1526.2 | 8
6011   | Bartlomiej 'Kaskader' Lubiatowski    |   1526.2 | 5
6012   | Christian Kosanovich                 |   1526.2 | 5
6013   | Brock Snedecor                       |   1526.2 | 33
6014   | Xalma Xalma                          |   1526.2 | 5
6015   | Thomas Fichu                         |   1526.2 | 5
6016   | Joshua Maltby                        |   1526.2 | 12
6017   | Fer ^^                               |   1526.2 | 5
6018   | Matthew Searle                       |   1526.1 | 31
6019   | Shark Ruffalo                        |   1526.1 | 5
6020   | John Haycock                         |   1526.1 | 3
6021   | Rek Gregory                          |   1526.1 | 15
6022   | Sertan Durak                         |   1526.1 | 11
6023   | Griffin Frost                        |   1526.1 | 33
6024   | Joe Soon                             |   1526.1 | 5
6025   | Greg Muir                            |   1526.1 | 6
6026   | MEPHISTO KUKABARA                    |   1526.1 | 12
6027   | Erik Crimson                         |   1526.1 | 10
6028   | Irina Kremers                        |   1526.1 | 8
6029   | Alan Ching                           |   1526.0 | 25
6030   | Rutger van Scheers                   |   1526.0 | 13
6031   | Jason Chang                          |   1526.0 | 6
6032   | Carson Jones                         |   1526.0 | 10
6033   | Austin Tame                          |   1526.0 | 6
6034   | Brian Warner                         |   1526.0 | 23
6035   | Joseph Wirtz                         |   1526.0 | 13
6036   | Sergey Tupikov                       |   1526.0 | 18
6037   | John Watson                          |   1526.0 | 20
6038   | Pascal Domingue                      |   1526.0 | 5
6039   | Robert Reimers                       |   1526.0 | 5
6040   | Tyler Hand                           |   1526.0 | 5
6041   | Will Leach                           |   1525.9 | 3
6042   | Andrew Bartosh                       |   1525.9 | 30
6043   | John Trotter                         |   1525.9 | 14
6044   | Thomas Geddes                        |   1525.9 | 55
6045   | Craig Bigham                         |   1525.9 | 10
6046   | Marcus Bjering                       |   1525.9 | 45
6047   | Kellen Sezmn                         |   1525.9 | 10
6048   | Jeremy Aitken                        |   1525.9 | 16
6049   | Fernando Canut                       |   1525.8 | 33
6050   | Jesse Pinick                         |   1525.8 | 56
6051   | Adam Lilly                           |   1525.8 | 26
6052   | Jack Bachman                         |   1525.8 | 5
6053   | Claudio Magnus                       |   1525.8 | 15
6054   | Felix Patch                          |   1525.8 | 26
6055   | Noah Bartle                          |   1525.7 | 25
6056   | Sebastian Huber                      |   1525.7 | 14
6057   | Giannis Gagkos                       |   1525.7 | 5
6058   | Nacho Ubeda Ortiz                    |   1525.7 | 5
6059   | Zhivoglot HIN - 390                  |   1525.7 | 5
6060   | Jack Davis fletcher                  |   1525.7 | 41
6061   | Stephen Shand                        |   1525.7 | 10
6062   | Reigel Fetterman                     |   1525.7 | 57
6063   | Jan Polleichtner                     |   1525.7 | 15
6064   | Tobias Alexius                       |   1525.7 | 21
6065   | Heath Hooper                         |   1525.7 | 34
6066   | Steve Covell                         |   1525.7 | 5
6067   | Wes Graham                           |   1525.7 | 10
6068   | Javier Figueroa                      |   1525.7 | 7
6069   | Michael Guilmette                    |   1525.7 | 35
6070   | Carlos Moral                         |   1525.7 | 6
6071   | Aitor Asensio                        |   1525.6 | 6
6072   | George Downing                       |   1525.6 | 10
6073   | Robin Kinnunen                       |   1525.6 | 25
6074   | Devin Bailey                         |   1525.6 | 15
6075   | Richard Moore                        |   1525.6 | 22
6076   | Ondřej  Sekanina                     |   1525.6 | 5
6077   | sergio Calduch Peralta               |   1525.6 | 11
6078   | Velimir Tkachenko                    |   1525.6 | 5
6079   | Jesse Davis                          |   1525.6 | 5
6080   | Marty Elliott                        |   1525.6 | 5
6081   | Nicholas Michalowski                 |   1525.6 | 4
6082   | Rich Steele                          |   1525.6 | 25
6083   | Charles Depew                        |   1525.6 | 32
6084   | Nick Wolf                            |   1525.6 | 4
6085   | Gabor Csordas                        |   1525.5 | 55
6086   | Joshua White                         |   1525.5 | 17
6087   | Alexander "Sieger 72" Shalin         |   1525.5 | 5
6088   | Daniel Paolini                       |   1525.5 | 27
6089   | Parker Courtley                      |   1525.5 | 12
6090   | Brad Squires                         |   1525.5 | 10
6091   | Juan Manuel Galán Recio              |   1525.5 | 40
6092   | Roberto Mule                         |   1525.5 | 15
6093   | Allu Ojala                           |   1525.5 | 5
6094   | Fabio Marques                        |   1525.5 | 10
6095   | Luis "Terroxer el Rojo" Balmori      |   1525.5 | 7
6096   | Andres Sandoval                      |   1525.5 | 12
6097   | Trevor Gibson                        |   1525.5 | 6
6098   | Adrian Godyla                        |   1525.5 | 5
6099   | Garrett Stein                        |   1525.5 | 72
6100   | Marcus Guerra                        |   1525.5 | 14
6101   | Tomas Prestamo                       |   1525.5 | 33
6102   | Laurent Thiffault                    |   1525.5 | 10
6103   | Gonzalo Jesús                        |   1525.4 | 12
6104   | az az                                |   1525.4 | 5
6105   | Данил Валиуллин                      |   1525.4 | 10
6106   | Rob Heidenrijk                       |   1525.4 | 19
6107   | Cass Watkins                         |   1525.4 | 5
6108   | Gabriel Owen                         |   1525.4 | 5
6109   | Matt Tarantine                       |   1525.4 | 28
6110   | Allan King                           |   1525.4 | 21
6111   | Zack Davis                           |   1525.3 | 30
6112   | Kikko Alpha Strike                   |   1525.3 | 41
6113   | Zack Ahrens                          |   1525.3 | 16
6114   | Christopher Smith                    |   1525.3 | 53
6115   | Aaron Wilson                         |   1525.3 | 15
6116   | David Alonso                         |   1525.3 | 16
6117   | Jacob Grogan                         |   1525.3 | 9
6118   | Jay Kinney                           |   1525.3 | 13
6119   | Austin Finch                         |   1525.3 | 25
6120   | Max Mitchell                         |   1525.3 | 21
6121   | Davide "DAVIDE AULETTA" Auletta      |   1525.2 | 5
6122   | Manue .                              |   1525.2 | 6
6123   | Jak Kotlarski                        |   1525.2 | 50
6124   | Obacne Javi                          |   1525.2 | 10
6125   | Yannick Bruggeman                    |   1525.2 | 16
6126   | Kristopher Row                       |   1525.2 | 15
6127   | Mike Arthur                          |   1525.2 | 11
6128   | Henry Gridley                        |   1525.2 | 20
6129   | Lasse Struz                          |   1525.2 | 10
6130   | Kyle Luchte                          |   1525.2 | 10
6131   | Seb gibson                           |   1525.2 | 25
6132   | Chris Fernandez                      |   1525.1 | 114
6133   | Nathan osborne                       |   1525.1 | 10
6134   | David Cottam                         |   1525.1 | 15
6135   | John DeFrank                         |   1525.1 | 22
6136   | Coronel T.H.                         |   1525.1 | 21
6137   | Sevinum .                            |   1525.1 | 22
6138   | Phillip Beaudry                      |   1525.1 | 45
6139   | Florian Pal                          |   1525.1 | 44
6140   | Juice Sexton                         |   1525.1 | 19
6141   | Dallin Graff                         |   1525.1 | 16
6142   | Pat Johnson                          |   1525.1 | 5
6143   | Nick Millar                          |   1525.1 | 35
6144   | Chris Boggiano                       |   1525.1 | 27
6145   | Steve Karapetis                      |   1525.1 | 8
6146   | Pj Campbell                          |   1525.1 | 15
6147   | Aegon Aegon                          |   1525.1 | 5
6148   | Thomas Ogden                         |   1525.1 | 16
6149   | Omar Depriori                        |   1525.1 | 71
6150   | Krib Krib                            |   1525.1 | 5
6151   | Matthew Goodwin                      |   1525.1 | 10
6152   | Alessio Viali                        |   1525.0 | 6
6153   | Jim Eccles                           |   1525.0 | 55
6154   | Toby Walker                          |   1525.0 | 8
6155   | Antonio Manuel Sánchez Pérez         |   1525.0 | 15
6156   | Educated Fool                        |   1525.0 | 5
6157   | Timo Jespersen                       |   1525.0 | 16
6158   | Miguel Fuentes                       |   1525.0 | 37
6159   | Jansen Cooper                        |   1525.0 | 6
6160   | Ruquinos  Paint Forge                |   1525.0 | 5
6161   | Bojan Donevski                       |   1525.0 | 5
6162   | Jeff Napp                            |   1525.0 | 15
6163   | Jake Gonzalez                        |   1525.0 | 45
6164   | Matt Neis                            |   1525.0 | 10
6165   | Luca Tosolini                        |   1525.0 | 60
6166   | Astin Cornwall                       |   1525.0 | 14
6167   | Jason Miller                         |   1525.0 | 25
6168   | Mike Rhodes                          |   1524.9 | 26
6169   | Gonzalo Baquero                      |   1524.9 | 5
6170   | David Cook                           |   1524.9 | 30
6171   | Michael Murrell                      |   1524.9 | 36
6172   | Alexis Auld                          |   1524.9 | 25
6173   | David Lenok                          |   1524.9 | 5
6174   | Lukas Ericsson                       |   1524.9 | 33
6175   | Joshua McFadden                      |   1524.9 | 29
6176   | Jared Kohler                         |   1524.9 | 4
6177   | Bartosz Chmielewski                  |   1524.9 | 5
6178   | Tommy French                         |   1524.9 | 19
6179   | Mingus Macnificus                    |   1524.9 | 5
6180   | Ryan Rowe                            |   1524.9 | 10
6181   | Ryan Kline                           |   1524.9 | 39
6182   | Gonzalo “Raven” de La Moneda 🦭🦭🦭     |   1524.9 | 5
6183   | Omar León                            |   1524.9 | 10
6184   | Will Norman                          |   1524.9 | 5
6185   | Thomas Carter                        |   1524.8 | 5
6186   | Glenn Connolly                       |   1524.8 | 62
6187   | Dan Gordon                           |   1524.8 | 42
6188   | Luke Taylor                          |   1524.8 | 28
6189   | Jamie Wates                          |   1524.8 | 70
6190   | Nicholas Jagiello                    |   1524.8 | 8
6191   | Alexandre Givry                      |   1524.8 | 5
6192   | Dylan Matousek                       |   1524.8 | 15
6193   | Caleb Sulkin                         |   1524.8 | 6
6194   | Sigurd Løberg                        |   1524.8 | 21
6195   | Seth Sweeney                         |   1524.8 | 39
6196   | Ken Smith                            |   1524.8 | 11
6197   | Big Daddy Dudek                      |   1524.8 | 16
6198   | Torbjørn Aamelfot                    |   1524.8 | 6
6199   | Liz Apke                             |   1524.7 | 5
6200   | Colin Wingo                          |   1524.7 | 33
6201   | Alexander Danaford                   |   1524.7 | 28
6202   | St.Walter 507                        |   1524.7 | 5
6203   | Taylor Kohn                          |   1524.7 | 5
6204   | Leam Gibbs                           |   1524.7 | 25
6205   | Thomas Harris                        |   1524.7 | 49
6206   | Anthony Mattassoni                   |   1524.7 | 14
6207   | Eduardo  "Gaspi"                     |   1524.7 | 6
6208   | Dalton Nugent                        |   1524.6 | 26
6209   | Jeremy Ozolins                       |   1524.6 | 29
6210   | Oleg "Mooniverse" Kravchenko 1013    |   1524.6 | 5
6211   | Nate Tan                             |   1524.6 | 16
6212   | Daniel Dionne                        |   1524.6 | 10
6213   | Jamie Balcombe                       |   1524.6 | 20
6214   | Red Ropes                            |   1524.6 | 5
6215   | Maxmilian Netusil                    |   1524.6 | 5
6216   | Rob Elver                            |   1524.6 | 82
6217   | Austin Houvener                      |   1524.6 | 12
6218   | Maxim "AlterEgo 765" Magerramov      |   1524.6 | 5
6219   | Thomas Cruickshank                   |   1524.6 | 25
6220   | Josh Lloyd                           |   1524.5 | 9
6221   | Stanislav "Ananas" Vitozhentc HIN 8… |   1524.5 | 5
6222   | Caleb Delamarter                     |   1524.5 | 6
6223   | Christian SkinnyB Br                 |   1524.5 | 33
6224   | Luke Vincent                         |   1524.5 | 10
6225   | Bastian Jürgens                      |   1524.5 | 16
6226   | ian high                             |   1524.5 | 19
6227   | Richard Erickson                     |   1524.5 | 48
6228   | Enrique Ripoll                       |   1524.5 | 11
6229   | Zach Petersen                        |   1524.5 | 56
6230   | Alberto "Miracle Dice"               |   1524.5 | 5
6231   | Jasper Arthur                        |   1524.5 | 17
6232   | Joseph Scioscia                      |   1524.5 | 8
6233   | Andres Techera                       |   1524.5 | 8
6234   | Lorenzo Migliavacca                  |   1524.4 | 36
6235   | Chris Kentrup                        |   1524.4 | 11
6236   | Tiphus Tiphus  48                    |   1524.4 | 5
6237   | Bjørn Jacobsen                       |   1524.4 | 44
6238   | Simon Eckert                         |   1524.4 | 5
6239   | Jonny Berkness                       |   1524.4 | 49
6240   | Steven Ward                          |   1524.4 | 5
6241   | Daniel Doyle                         |   1524.4 | 14
6242   | Andrew "Dr Ooze" Strange             |   1524.4 | 5
6243   | Christopher Jacobsen                 |   1524.4 | 10
6244   | Johannes "Tschjo" Maier              |   1524.4 | 17
6245   | Casey Yeates                         |   1524.4 | 19
6246   | Russell Carlson                      |   1524.4 | 5
6247   | Tim Bre                              |   1524.3 | 9
6248   | Ross Murphy                          |   1524.3 | 10
6249   | Gabrycki BYE BOYZ                    |   1524.3 | 5
6250   | Ben Cort                             |   1524.3 | 18
6251   | Noritoshi 😶‍🌫️                       |   1524.3 | 25
6252   | Joseph Williams                      |   1524.3 | 28
6253   | Oriol Serret (Urifici)               |   1524.3 | 25
6254   | James GALE                           |   1524.3 | 5
6255   | Daniil Gulenkov                      |   1524.3 | 5
6256   | Nick Garcia                          |   1524.3 | 15
